"System","Disease","Pedia_FirstLine","Pedia_SecondLine","Adult_FirstLine","Adult_SecondLine","Remarks"
"Blood-Borne & Systemic","Staphylococcal Toxic Shock Syndrome (TSS)","Oxacillin 150–200 mg/kg/day div q4–6h OR Cefazolin 75–100 mg/kg/day div q8h OR Vancomycin (for MRSA) 40–60 mg/kg/day PLUS Clindamycin 30–40 mg/kg/day div q6–8h PLUS IVIG 150–400 mg/kg x 5 days.","N/A","Vancomycin 25–30 mg/kg loading dose then 1 g IV q8h PLUS Clindamycin 900 mg IV q8h PLUS IVIG 1 g/kg (Day 1) then 500 mg/kg daily for 2–3 days.","N/A","TSS requires immediate aggressive fluid management and potentially surgical debridement. Clindamycin is added to inhibit toxin production."
"Blood-Borne & Systemic","Streptococcal Toxic Shock Syndrome (TSS)","Penicillin G 200,000–300,000 U/kg/day IV div q4–6h OR Ceftriaxone 100 mg/kg/day PLUS Clindamycin 30–40 mg/kg/day PLUS IVIG 1 g/kg (Day 1) then 500 mg/kg (Days 2–3).","N/A","1st line: Penicillin G 24 MU daily IV div q4–6h PLUS Clindamycin 900 mg IV q8h.","2nd line: Ceftriaxone 2 g IV q24h PLUS Clindamycin 900 mg IV q8h PLUS IVIG.","IVIG may be considered if the patient is refractory to therapy or has an undrainable focus."
"Blood-Borne & Systemic","Febrile Neutropenia (Adult)","N/A","N/A","Low Risk: Ciprofloxacin 750 mg PO bid OR Levofloxacin 750 mg PO daily PLUS Co-amoxiclav 625 mg tid.","High Risk: Monotherapy with Cefepime 2 g IV q8h OR Meropenem 1–2 g IV q8h OR Piperacillin-tazobactam 4.5 g IV q6h.","High-risk factors include profound neutropenia (<100 cells/uL) and anticipated fever >7 days. Continue treatment until the patient is afebrile and ANC >500 cells/uL."
"Blood-Borne & Systemic","Typhoid Fever","Uncomplicated: 1st line: Amoxicillin 75–100 mg/kg/day div q8h OR Chloramphenicol 50–75 mg/kg/day div q6h OR Co-trimoxazole 8 mg/kg/day (TMP component) for 14 days. 2nd line (MDRTF): Cefixime 15–20 mg/kg/day OR Azithromycin 10–20 mg/kg/day OR Ciprofloxacin 30 mg/kg/day.","Severe/Complicated: Ceftriaxone 75 mg/kg/day for 10–14 days.","Uncomplicated: 1st line: Amoxicillin 1 g q6h OR Co-trimoxazole 160/800 mg PO q12h OR Chloramphenicol 1 g PO q6h for 14 days OR Ciprofloxacin 500 mg PO q12h x 7–10 days.","Severe/Complicated: Ceftriaxone 1–2 g IV for 10–14 days.","Chloramphenicol is associated with serious blood dyscrasias like aplastic anemia. MDRTF (Multi-drug resistant typhoid fever) should be suspected if there is no response after 5–7 days of first-line treatment."
"Blood-Borne & Systemic","Leptospirosis","Mild: 1st line: Amoxicillin 30–50 mg/kg/day (div q8h) OR Doxycycline 2 mg/kg bid x 7 days. 2nd line: Azithromycin 10 mg/kg (Day 1) then 5 mg/kg (Days 2–3).","Moderate to Severe: 1st line: Penicillin G 250,000–400,000 U/kg/day IV div q4–6h x 7 days. 2nd line: Cefotaxime 100–150 mg/kg/day div q6–8h OR Ceftriaxone 80–100 mg/kg/day div q24h x 7 days.","Mild: 1st line: Amoxicillin 30–50 mg/kg/day (div q8h) OR Doxycycline 2 mg/kg bid x 7 days. 2nd line: Azithromycin 10 mg/kg (Day 1) then 5 mg/kg (Days 2–3).","Moderate to Severe: 1st line: Penicillin G 250,000–400,000 U/kg/day IV div q4–6h x 7 days. 2nd line: Cefotaxime 100–150 mg/kg/day div q6–8h OR Ceftriaxone 80–100 mg/kg/day div q24h x 7 days.","Doxycycline precautions: avoid in children <8 years and during pregnancy. Pre-exposure prophylaxis: Doxycycline 4 mg/kg (Max: 200 mg) single dose for high-risk exposure."
"Cardiovascular Infections","Native Valve Infective Endocarditis (Empiric Therapy)","Community-acquired: Ampicillin-sulbactam 200–300 mg/kg/day IV divided into 4–6 doses (Max: 12 g/day ) PLUS Gentamicin 3–6 mg/kg/day IV/IM divided every 8 hours.","Healthcare-associated: Vancomycin 60 mg/kg/day IV divided every 6 hours (Max: 2 g/day ) PLUS Gentamicin 3–6 mg/kg/day IV every 8 hours PLUS either Cefepime 100–150 mg/kg/day divided every 8–12 hours (Max: 6 g/day ) OR Ceftazidime 100–150 mg/kg/day IV divided every 8 hours (Max: 2–4 g/day ).","Community-acquired: Ampicillin-sulbactam 3 g IV every 6 hours PLUS Gentamicin 1 mg/kg IV every 8 hours.","Healthcare-associated: Vancomycin 15–20 mg/kg IV every 8–12 hours PLUS Gentamicin 1 mg/kg IV every 8 hours PLUS either Cefepime 2 g IV every 8 hours OR Ceftazidime 2 g IV every 8 hours.","Obtain at least 3 sets of blood cultures and conduct a transthoracic echocardiogram (TTE) in all suspected cases. Once the pathogen is identified therapy must be adapted to the susceptibility pattern."
"Cardiovascular Infections","Pathogen-Specific Infective Endocarditis (Native Valve)","S. viridans/S. bovis: Penicillin G 200,000–300,000 U/kg/day IV divided every 4 hours (Max: 12–24 MU/day) OR Ceftriaxone 100 mg/kg/day IV/IM divided every 12 hours x 4 weeks.","S. aureus (MSSA): Oxacillin 200 mg/kg/day IV divided 4–6 doses x 6 weeks. S. aureus (MRSA): Vancomycin 60 mg/kg/day IV divided every 6 hours (Max: 2 g/day ).","S. viridans/S. bovis: Penicillin G 12–18 MU/day IV divided every 4 hours x 4 weeks OR Ceftriaxone 2 g IV every 24 hours x 4 weeks.","S. aureus (MSSA): Oxacillin 2 g IV every 4 hours x 4–6 weeks OR Cefazolin 2 g IV every 8 hours x 6 weeks. S. aureus (MRSA): Vancomycin 15–20 mg/kg IV every 8–12 hours x 6 weeks.","For S. bovis clinicians should suspect occult bowel pathology (e.g. tumor). Vancomycin therapy must target a trough concentration of 15–20 mcg/mL."
"Cardiovascular Infections","Prosthetic Valve Infective Endocarditis (Empiric Therapy)","Vancomycin 40–60 mg/kg/day divided every 6–8 hours PLUS Gentamicin 3–6 mg/kg/day IV divided every 8 hours PLUS Rifampin 20 mg/kg/day IV/PO divided into 3 doses x 6 weeks (Max: 900 mg/day).","N/A","Vancomycin 15–20 mg/kg IV every 8–12 hours PLUS Gentamicin 1 mg/kg IV every 8 hours PLUS Rifampin 600 mg PO every 24 hours x 6 weeks.","N/A","Early surgical consultation is recommended especially for persistent bacteremia heart block or fungal IE."
"Cardiovascular Infections","Infective Endocarditis Prophylaxis (Dental Procedures)","Amoxicillin 50 mg/kg PO x 1 dose (30–60 min before procedure). If allergic: Cephalexin 50 mg/kg.","N/A","Amoxicillin 2 g PO x 1 dose (30–60 min before procedure). If allergic: Cephalexin 2 g.","N/A","Prophylaxis is only reasonable for patients with highest-risk conditions (e.g. prosthetic valves previous IE or certain congenital heart diseases)."
"Cardiovascular Infections","Bacterial Purulent Pericarditis","Vancomycin 60 mg/kg/day divided every 6 hours PLUS Ceftriaxone 100 mg/kg/day IV divided every 12–24 hours (Max: 2 g every 12h).","N/A","Vancomycin 15–20 mg/kg IV every 8–12 hours PLUS either Ceftriaxone 2 g IV every 24 hours OR Levofloxacin 750 mg IV every 24 hours.","N/A","Drainage is usually necessary. Once a pathogen is isolated specific IV therapy should continue for 3–4 weeks."
"Cardiovascular Infections","Acute Rheumatic Fever (Secondary Prevention)","N/A","N/A","Benzathine Penicillin G IM every 3 weeks. Weight <=27 kg: 600,000 U IM. Weight >27 kg: 1,200,000 U IM.","Oral Alternative: Penicillin V 250 mg PO bid.","Prevention of recurrent Group A Streptococcus (GAS) pharyngitis is the most effective way to prevent severe Rheumatic Heart Disease (RHD). Duration of prophylaxis depends on the presence of carditis and residual heart disease."
"Cardiovascular Infections","Central Line-Associated Bloodstream Infection (CLABSI)","Vancomycin 60 mg/kg/day divided every 6 hours PLUS Piperacillin-tazobactam 200–300 mg/kg/day IV divided every 8 hours PLUS an Aminoglycoside.","N/A","Non-tunneled catheter: Vancomycin 15–20 mg/kg IV every 8–12 hours.","N/A","If S. aureus is identified remove the catheter and treat for at least 2 weeks. If Candida is the cause use Fluconazole 12 mg/kg PO/IV loading dose then 6 mg/kg/day."
"Central Nervous System","Community Acute Bacterial Meningitis (<2 months old)","Ampicillin OR Cefotaxime IV/IM: <2 kg: 50 mg/kg q12h (0–7 days old); 50 mg/kg q8h (>7 days old). >=2 kg: 50 mg/kg q8h (0–7 days old); 50 mg/kg q6h (>7 days old). PLUS Amikacin 15 mg/kg/day IV/IM q24h OR Gentamicin 5 mg/kg/day IV/IM q24h.","N/A","N/A","N/A","Start therapy immediately after lumbar puncture (LP). Ceftriaxone may be used if Cefotaxime is unavailable provided the neonate is not jaundiced. Dexamethasone has no role in neonatal meningitis."
"Central Nervous System","Community Acute Bacterial Meningitis (2 months to 5 years)","Ceftriaxone 100 mg/kg/day IV divided every 12–24h (Max: 4 g/day ) OR Chloramphenicol 100 mg/kg/day IV divided every 8h (Max: 4 g/day ).","N/A","If resistant S. pneumoniae is suspected add Vancomycin 15–20 mg/kg IV q8–12h. Do not use Cefuroxime due to delayed sterilization and increased hearing loss risk. If Hib is suspected give Dexamethasone 0.15 mg/kg (Max: 10 mg) q6h x 4 days.","N/A","Standard meningitis coverage for the 2m-5y age group."
"Central Nervous System","Community Acute Bacterial Meningitis (5 to 18 years)","Ceftriaxone 100 mg/kg/day IV divided every 12h (Max: 4 g/day ) OR Chloramphenicol 100 mg/kg/day IV divided every 8h (Max: 4 g/day ).","N/A","If Hib is confirmed in children <10 years add Rifampin prophylaxis (20 mg/kg/day x 4 days) to eradicate the carrier state.","N/A","Standard meningitis coverage for the 5y-18y age group."
"Central Nervous System","Community Acute Bacterial Meningitis (18 to 50 years)","N/A","N/A","Ceftriaxone 2 g IV every 12h.","N/A","Start Dexamethasone before or with the first dose of antibiotics at 0.15 mg/kg q6h IV for 2–4 days."
"Central Nervous System","Community Acute Bacterial Meningitis (>50 years old)","N/A","N/A","Ampicillin 2 g IV every 4h PLUS Ceftriaxone 2 g IV every 12h.","N/A","Ampicillin is added to cover L. monocytogenes. For severe penicillin allergy use Vancomycin 15–20 mg/kg IV q8–12h PLUS Aztreonam 2 g IV q6–8h or Ciprofloxacin 400 mg IV q12h."
"Central Nervous System","Meningitis with Anatomic Defects / Neurosurgical Complications","Vancomycin 60 mg/kg/day IV divided every 6h PLUS Ceftazidime 150 mg/kg/day divided every 8h.","N/A","Vancomycin 15–20 mg/kg IV q8–12h PLUS Ceftazidime 2 g IV q8h.","N/A","Duration is typically 3–6 weeks. Covers S. aureus S. epidermidis and Gram-negative bacilli including Pseudomonas."
"Central Nervous System","Brain Abscess (Source Specific)","N/A","N/A","Dental Source: Penicillin G PLUS Ceftriaxone (Adult: Pen G 4 MU q4h + Ceftriaxone 2 g q12h). Otitis/Sinusitis Source: Ceftazidime (Adult: 2 g q8h) PLUS Metronidazole (Adult: 7.5 mg/kg q6h).","Head Trauma Source: Vancomycin PLUS Ceftriaxone. Congenital Heart Disease Source: Ceftriaxone PLUS Metronidazole.","Duration is usually 6–8 weeks. Surgical aspiration is usually required if the lesion is >2.5 cm."
"Central Nervous System","Spinal Abscess","Vancomycin 60 mg/kg/day IV divided every 6h.","N/A","Vancomycin 15–20 mg/kg IV q8–12h.","N/A","Shift to Oxacillin if methicillin-sensitive S. aureus (MSSA) is documented."
"Central Nervous System","Encephalitis (Herpes Simplex)","Aciclovir: <12 years: 20 mg/kg IV over 1h every 8h.","N/A","Aciclovir: 10 mg/kg IV over 1h every 8h.","N/A","Duration is 14–21 days. Early diagnosis is critical."
"Central Nervous System","Fungal Meningitis (Cryptococcal)","N/A","N/A","Non-AIDS (Induction): Amphotericin B deoxycholate 0.7–1 mg/kg IV daily for ~6 weeks.","HIV-Associated (Induction): Amphotericin B deoxycholate 0.7–1 mg/kg/day PLUS Fluconazole 800 mg/day (Adult) or 6–12 mg/kg/day (Pediatric).","Ideal regimen includes Flucytosine but it is unavailable in the Philippines. Monitor BUN creatinine and potassium weekly."
"Dental & Oral","Buccal Cellulitis","1st line: Ceftriaxone 50 mg/kg IV every 24 hours.","2nd line: Co-amoxiclav 45 mg/kg/day (amoxicillin component) PO divided every 12 hours.","N/A","N/A","This condition is usually preceded by an upper respiratory tract infection or sinusitis and manifests as marked cheek swelling with trismus. Treatment duration is typically 7 to 14 days."
"Dental & Oral","Herpes Simplex Virus Gingivostomatitis","Aciclovir 15 mg/kg/day every 8 hours for 5 to 7 days.","N/A",">12 years and Adult: Valaciclovir 2 g PO every 12 hours for 2 doses.","N/A","This is a self-limiting disease and treatment is generally not recommended for immunocompetent patients. Aspirin should be avoided to prevent Reye syndrome; use paracetamol for pain."
"Dental & Oral","Oral Candidiasis (Oral Thrush)","N/A","N/A","Nystatin oral suspension 100,000 U/mL (4 mL qid) OR Miconazole oral gel 2% applied to the affected area qid.","Adult Option: Fluconazole 100–200 mg PO daily.","Overgrowth may be triggered by antibiotics or immunosuppression; recurrent infections can be an early sign of HIV. Fluconazole is preferred for moderate to severe disease."
"Dental & Oral","Odontogenic Infections (Dentoalveolar Infection or Peri-apical Abscess)","1st line: Ampicillin-sulbactam 200–400 mg/day IV divided every 6 hours (ampicillin component) OR Co-amoxiclav 45 mg/kg/day divided every 12 hours (amoxicillin component).","2nd line: Clindamycin 20–40 mg/kg/day PO divided every 8 hours.","1st line: Ampicillin-sulbactam 3 g IV every 6 hours OR Co-amoxiclav 875/125 mg bid.","2nd line: Clindamycin 300 mg PO every 8 hours.","Dental consultation is mandatory as extraction or scaling is necessary to eliminate the infected pulp. Systemic antibiotics are only needed if there is acute onset facial swelling trismus fever >38.3°C or dysphagia."
"Dental & Oral","Acute Gingivitis","Penicillin VK (<12 years: 50–75 mg/kg/day PO div q6–8h; >=12 years: 250–500 mg/day PO q6–8h) PLUS Metronidazole 30 mg/kg/day PO divided every 6 hours. General: Chlorhexidine 0.12% oral rinse.","N/A","(Penicillin VK 500 mg PO every 6 hours PLUS Metronidazole 500 mg PO every 8 hours) OR Clindamycin 300 mg PO/IV every 8 hours OR Co-amoxiclav 875/125 mg bid. General: Chlorhexidine 0.12% oral rinse.","N/A","Systemic therapy is rarely required as antiseptic rinses are usually adequate."
"Dental & Oral","Acute Necrotizing Ulcerative Gingivitis (Trench Mouth)","N/A","N/A","(Penicillin VK 500 mg PO every 6 hours PLUS Metronidazole 500 mg PO every 8 hours) OR Clindamycin 300 mg PO/IV every 8 hours OR Co-amoxiclav 875/125 mg bid for 10 days.","N/A","Characterized by foul breath gingival pain and thick ropy saliva. Therapy should be followed by localized gingival curettage by a dentist."
"Dental & Oral","Juvenile Periodontitis","<8 years old: Metronidazole 50 mg/kg/day PO divided every 8 hours. >=8 years old: Doxycycline 200 mg PO.","N/A","N/A","N/A","This condition involves deep gingival pocketing and bone resorption in the molar and incisor regions. Antibiotics are started only if the condition does not respond to root debridement."
"Dental & Oral","Periodontal Abscess","1st line: Co-amoxiclav 45 mg/kg/day divided bid (amoxicillin component).","2nd line: Clindamycin 20–40 mg/kg/day PO divided every 8 hours.","1st line: Co-amoxiclav 875/125 mg bid.","2nd line: Clindamycin 150–300 mg PO every 8 hours.","Drainage of loculated pus is essential; scaling and root planing should follow abscess resolution."
"Dental & Oral","Pericoronitis","N/A","N/A","Penicillin VK 500 mg every 6 hours OR Amoxicillin 500 mg every 8 hours for 7 days.","N/A","Blocked drainage under soft tissue overlying a crown leads to infection. Antibiotics are only necessary for systemic signs like fever."
"Dental & Oral","Ludwig’s Angina","Ampicillin-sulbactam 200–400 mg/day IV div q6h OR (Penicillin G 250,000–400,000 U/kg/day IV div 4 doses PLUS Metronidazole 22.5–40 mg/kg/day IV q6–8h) OR Clindamycin 20–40 mg/kg/day IV q6–8h.","N/A","Ampicillin-sulbactam 3 g IV every 6 hours OR (Penicillin G 2–4 MU IV every 4–6 hours PLUS Metronidazole 500 mg IV every 6–8 hours) OR Clindamycin 600 mg IV every 6–8 hours.","N/A","This is a life-threatening aggressive cellulitis of the submandibular space. Airway management is the top priority."
"Skin & Soft Tissue (Pediatric)","Abscess Boils and Furuncles","1st line (Oral): Cloxacillin 50–100 mg/kg/day divided every 6 hours (Max: 2 g/day ) OR Cephalexin 25–50 mg/kg/day divided every 6–8 hours. 1st line (Parenteral): Oxacillin 100–150 mg/kg/day IV/IM divided every 6 hours (Max: 4 g/day ) or Cefazolin 50 mg/kg/day IV/IM divided every 6–8 hours (Max: 3 g/day ).","2nd line (Suspected MRSA): Clindamycin 30–40 mg/kg/day PO divided every 6–8 hours or 25–40 mg/kg/day IV.","N/A","N/A","Incision and drainage (I&D) is the mainstay of therapy and needle aspiration is considered inadequate. Antibiotics are specifically recommended if the abscess is >5 cm multiple lesions are present or the patient shows signs of SIRS."
"Skin & Soft Tissue (Pediatric)","Impetigo and Ecthyma","Topical (Localized): Mupirocin 2% ointment 3x/day or Fusidic acid 2% cream 2x/day for 7–12 days.","Oral (Extensive/Bullous): Cloxacillin 50–100 mg/kg/day or Cephalexin 25–50 mg/kg/day for 7 days.","N/A","N/A","Topicals are preferred for limited lesions (<5 cm) while oral antibiotics are reserved for extensive infections systemic symptoms or outbreaks in child care groups. Ecthyma is a deeper form of impetigo that results in ""punched out"" ulcers and heals with scarring."
"Skin & Soft Tissue (Pediatric)","Erysipelas","1st line (Oral): Penicillin V 25–50 mg/kg/day divided every 6–8 hours. 1st line (Parenteral): Penicillin G 100,000–150,000 U/kg/day IV divided every 6 hours.","N/A","N/A","N/A","Erysipelas is a superficial infection characterized by a sharply demarcated bright red tender plaque. For infections involving the face Vancomycin is recommended as the first line to cover for potential MRSA."
"Skin & Soft Tissue (Pediatric)","Cellulitis (Non-Purulent)","1st line (Oral): Cephalexin 25–50 mg/kg/day divided every 6–8 hours or Co-amoxiclav 20–40 mg/kg/day (amoxicillin component) divided every 8 hours. 1st line (Parenteral): Cefazolin 50 mg/kg/day or Ampicillin-sulbactam 100–200 mg/kg/day IV.","N/A","N/A","N/A","This applies to cellulitis with intact skin and no purulent discharge. If a patient does not respond to beta-lactams empiric coverage for CA-MRSA should be initiated."
"Skin & Soft Tissue (Pediatric)","Cat Dog or Human Bites","1st line: Co-amoxiclav (Oral) 25–45 mg/kg/day divided every 12 hours or Ampicillin-sulbactam (Parenteral) 100–200 mg/kg/day divided every 6 hours.","N/A","N/A","N/A","Irrigation and debridement are the most critical steps in management. For cat bites Pasteurella multocida is a major concern as it can cause infection within 24 hours. Always assess the need for rabies and tetanus prophylaxis."
"Skin & Soft Tissue (Pediatric)","Necrotizing Fasciitis / Gas Gangrene","1st line: Vancomycin 40–60 mg/kg/day IV PLUS Piperacillin-tazobactam 240–300 mg/kg/day IV divided every 6–8 hours.","Documented GAS/Clostridial: Penicillin G 200,000–300,000 U/kg/day PLUS Clindamycin 30–40 mg/kg/day IV (to block toxin production).","N/A","N/A","This is a surgical emergency requiring immediate exploration drainage and debridement of all non-viable tissue. Clinical signs include dusky cyanotic skin and a rapid decrease in pain (due to nerve destruction)."
"Skin & Soft Tissue (Pediatric)","Staphylococcal Scalded Skin Syndrome (SSSS)","Oxacillin 100–150 mg/kg/day IV/IM for mild/moderate cases or 150–200 mg/kg/day for severe cases.","N/A","N/A","N/A","This condition is caused by an exfoliative toxin produced by S. aureus that cleaves the skin layers. Vancomycin should be used if MRSA is suspected."
"Skin & Soft Tissue (Pediatric)","Fungal Infections (Tinea and Candidiasis)","Tinea Corporis/Cruris: Terbinafine 1% cream applied 2x/day for 1 week. Cutaneous Candidiasis: Clotrimazole 1% or Miconazole 2% cream applied 2x/day for 3–5 days.","Tinea Capitis: Terbinafine (Oral) weight-based: <20 kg (62.5 mg); 20–40 kg (125 mg); >40 kg (250 mg) daily for 2 weeks.","N/A","N/A","Tinea capitis (ringworm of the scalp) always requires systemic therapy because topical agents do not penetrate the hair follicle."
"Skin & Soft Tissue (Pediatric)","Scabies and Lice","Scabies: Permethrin 5% cream; apply to the entire skin from the chin down to the toes, leave on for 8–14 hours, and repeat in 1–2 weeks. Pubic Lice: Permethrin 1% cream rinse; wash off after 10 minutes.","N/A","N/A","N/A","Treat all close contacts simultaneously and wash all linens in a hot cycle to prevent re-infection."
"Skin & Soft Tissue (Adult)","Skin Abscess Boils and Furuncles","N/A","N/A","Small (<2 cm): Incision and drainage (I&D) only; no antibiotics needed. Large (>2 cm) or Multiple: I&D plus Clindamycin 300–450 mg PO tid; OR Co-trimoxazole 160/800 mg 1–2 tabs PO bid; OR Doxycycline 100 mg PO q12h for 5–10 days.","Inpatient/Severe: Clindamycin 600 mg IV q8h; OR Vancomycin 15 mg/kg q12h (target trough 10–20 ug/mL).","I&D is the mainstay of therapy; needle aspiration is inadequate. For obese patients (BMI >40) use the higher dose of Clindamycin (450 mg) or 2 tabs of Co-trimoxazole to prevent treatment failure."
"Skin & Soft Tissue (Adult)","Acute Bacterial Skin and Skin Structure Infections (ABSSSI) / Cellulitis","N/A","N/A","Outpatient: Penicillin VK 500 mg PO qid; OR Amoxicillin 500 mg PO q8h; OR Cephalexin 500 mg PO bid for 10 days.","Inpatient: Penicillin G 1–2 MU IV q6h; OR Cefazolin 1 g IV q8h; OR Ceftriaxone 2 g IV daily.","Leg elevation is necessary to reduce local edema. Note that stasis dermatitis from venous insufficiency often mimics cellulitis but does not require antibiotics."
"Skin & Soft Tissue (Adult)","Diabetic Foot Infections (DFI)","N/A","N/A","Mild to Moderate: Clindamycin 300 mg PO/IV qid; OR Co-trimoxazole 160/800 mg 1–2 tabs PO bid for 1–2 weeks.","Severe (MRSA/Pseudomonas suspected): Piperacillin-Tazobactam 4.5 g IV q6–8h PLUS Vancomycin 15–20 mg/kg IV q8–12h for 2–3 weeks.","Requires multi-specialty collaboration. If you can ""probe to the bone"" with a metal instrument the likelihood of contiguous osteomyelitis is very high."
"Skin & Soft Tissue (Adult)","Cat Dog and Human Bites","N/A","N/A","Cat/Dog Bite: Co-amoxiclav 875/125 mg PO bid or 500/125 mg PO tid. Human Bite (Early): Co-amoxiclav 875/125 mg PO bid x 5 days.","Human Bite (Infected): Ampicillin-sulbactam 1.5–3 g IV q6h; OR Piperacillin-tazobactam 4.5 g q8h.","Cleaning irrigation and debridement are the most important steps. For human bites clenched fist injuries are particularly high risk for deep space infections."
"Skin & Soft Tissue (Adult)","Necrotizing Fasciitis","N/A","N/A","Type I (Mixed): Piperacillin-tazobactam 4.5 g IV q8h PLUS Vancomycin 15–20 mg/kg IV q8–12h.","Type II (GAS/Clostridial): Penicillin G 4 MU IV q4h PLUS Clindamycin 600–900 mg IV q8h.","This is a surgical emergency. Urgent surgical debridement of all non-viable tissue is the mainstay of therapy; IDSA guidelines do not recommend hyperbaric oxygen."
"Skin & Soft Tissue (Adult)","Herpes Zoster (Shingles)","N/A","N/A","Immunocompetent: Aciclovir 800 mg PO 5x/day x 7–10 days.","Severe/Disseminated: Aciclovir 10–12 mg/kg IV q8h for 7–14 days.","Treatment must begin within 72 hours of rash onset to be effective. Adding Prednisone to Aciclovir in patients >50 years may improve quality of life during the acute phase but does not prevent post-herpetic neuralgia."
"Skin & Soft Tissue (Adult)","Postpartum Mastitis","N/A","N/A","Outpatient: Cloxacillin 500 mg PO qid; OR Cephalexin 500 mg PO qid.","MRSA suspected: Clindamycin 300 mg PO qid; OR Co-trimoxazole 160/800 mg 1–2 tabs PO bid.","Continue breastfeeding if possible; it does not pose a risk to the infant and helps empty the breast."
"Skin & Soft Tissue (Adult)","Fungal Skin Infections","N/A","N/A","Candidiasis: Clotrimazole 1% Miconazole 2% or Ketoconazole 2% cream applied bid for 3–5 days. Tinea (Corporis/Cruris/Pedis): Terbinafine 1% cream daily or bid for 1–4 weeks.","N/A","Akapulco lotion (Senna alata extract) at 50% concentration has been found superior to placebo for Tinea versicolor in a meta-analysis."
"Surgical Prophylaxis","Cardiovascular Surgery","Cefazolin 30 mg/kg IV OR Cefuroxime 50 mg/kg IV.","N/A","Cefazolin 2g IV (3g if weight >=120 kg) OR Cefuroxime 1.5g IV.","Beta-lactam Allergy: Vancomycin (1g if <=90 kg; 1.5g if >90 kg).","Prophylaxis beyond 24 hours is not recommended. Consider intranasal Mupirocin for patients colonized with S. aureus."
"Surgical Prophylaxis","Gastroduodenal and Biliary Surgery","Cefazolin 30 mg/kg IV OR Cefoxitin 40 mg/kg IV.","N/A","Cefazolin 2g IV (3g if weight >=120 kg) OR Cefoxitin 2g IV OR Ceftriaxone 2g IV.","N/A","No prophylaxis is needed for low-risk laparoscopic cholecystectomy. Biliary high-risk factors include age >70 diabetes and acute cholecystitis."
"Surgical Prophylaxis","Colorectal Surgery","Parenteral: Cefoxitin 40 mg/kg IV OR (Cefazolin 30 mg/kg IV PLUS Metronidazole 15 mg/kg IV).","N/A","Parenteral: (Cefazolin 2g IV PLUS Metronidazole 0.5g IV) OR Cefoxitin 2g IV OR Ampicillin-Sulbactam 3g IV.","Oral: Neomycin 1g PLUS Erythromycin base 1g PO x 3 doses given the afternoon and evening before the operation.","Prophylaxis includes a combination of mechanical bowel preparation oral antibiotics and IV antibiotics."
"Surgical Prophylaxis","Obstetric and Gynecologic Surgery","N/A","N/A","Cefazolin 2g IV OR Cefoxitin 2g IV OR Ampicillin-sulbactam 3g IV.","Beta-lactam Allergy: Clindamycin 900 mg IV PLUS Gentamicin 5 mg/kg IV.","For Caesarean sections the antibiotic should be administered before the skin incision. Prophylaxis is NOT recommended for uncomplicated vaginal birth."
"Surgical Prophylaxis","Orthopedic Surgery","Cefazolin 30 mg/kg IV.","N/A","Cefazolin 2g IV.","Beta-lactam Allergy: Vancomycin (1g if <=90 kg; 1.5g if >90 kg) OR Clindamycin 900 mg IV.","Prophylaxis should be stopped within 24 hours of surgery. It is not indicated for clean operations of hands/feet without implantation."
"Surgical Prophylaxis","Neurosurgery","Cefazolin 30 mg/kg IV.","N/A","Cefazolin 2g IV (3g if weight >=120 kg).","Beta-lactam Allergy: Vancomycin OR Clindamycin 900 mg IV.","Vancomycin is preferred in hospitals with a high frequency of MRSA or for colonized patients."
"Urinary Tract Infections","Pediatric Urinary Tract Infections","Neonatal UTI (<2 months old): Cefotaxime (50 mg/kg/dose q8–12h) PLUS Amikacin (7.5–10 mg/kg/day). Acute Uncomplicated UTI (>2 months): Co-amoxiclav (20–40 mg/kg/day div q8h or 25–45 mg/kg/day div q12h) OR Cefuroxime (20–30 mg/kg/day).","Recurrent/Complicated: Ceftriaxone (50–100 mg/kg/dose) AND/OR Amikacin (15–22.5 mg/kg/day). Perinephric Abscess: Oxacillin (100–200 mg/kg/day) PLUS Amikacin.","N/A","N/A","If sepsis is suspected in neonates treat as neonatal sepsis. Nitrofurantoin should only be used for cystitis not pyelonephritis."
"Urinary Tract Infections","Adult Urinary Tract Infections","N/A","N/A","Acute Uncomplicated Cystitis (AUC): Nitrofurantoin macrocrystals (100 mg qid x 5 days) OR Fosfomycin (3 g x 1 dose).","Acute Uncomplicated Pyelonephritis: Ciprofloxacin (500 mg bid x 7–10 days) OR Levofloxacin (750 mg daily x 5 days) OR Ceftriaxone (1–2 g q24h).","Empiric treatment with Amoxicillin and Co-trimoxazole is not recommended due to high prevalence of resistance. Hospitalization is required for pyelonephritis with signs of sepsis."
"Urinary Tract Infections","UTI in Pregnancy","N/A","N/A","Acute Uncomplicated Cystitis: Cefalexin (500 mg qid) OR Cefuroxime (500 mg bid) OR Fosfomycin (3 g single dose).","Acute Pyelonephritis in Pregnancy: Ceftriaxone (1–2 g q24h) OR Ceftazidime (2 g q8h).","Use Nitrofurantoin only between the 2nd trimester and 32 weeks; Fluoroquinolones are contraindicated. Treat Asymptomatic Bacteriuria to reduce risk of low birth weight."
